name,run,seed,MAE,WAPE,MedAPE
XGBoost,38,79,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,38,79,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,39,80,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,39,80,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,39,80,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,40,81,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,40,81,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,40,81,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,41,82,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,41,82,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,41,82,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,42,83,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,42,83,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,42,83,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,43,84,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,43,84,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,43,84,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,44,85,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,44,85,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,44,85,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,45,86,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,45,86,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,45,86,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,46,87,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,46,87,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,46,87,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,47,88,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,47,88,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,47,88,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,48,89,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,48,89,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,48,89,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,49,90,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,49,90,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,49,90,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,50,91,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,50,91,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,50,91,9.897384659831046,0.07122152769645317,0.047052737327150894
