iter	RMSE
0	0.9194994326
1	0.8942623591
2	0.8694173217
3	0.8453848582
4	0.8218520507
5	0.7990508572
6	0.7770057113
7	0.7561250513
8	0.7353138556
9	0.7150875179
10	0.6960911001
11	0.6768386987
12	0.6589811127
13	0.6408336893
14	0.6234017852
15	0.6071767328
16	0.5909061582
17	0.5754615654
18	0.5603121455
19	0.545386519
20	0.5311562652
21	0.5175188349
22	0.5036732583
23	0.4908357566
24	0.4780697101
25	0.4656571834
26	0.453732671
27	0.4421751678
28	0.4309534395
29	0.4199737168
30	0.409286312
31	0.3990850281
32	0.3890049697
33	0.3792979624
34	0.3698208616
35	0.3608852904
36	0.351945424
37	0.3433204874
38	0.335300891
39	0.3273578059
40	0.3195181945
41	0.3121211231
42	0.3050292129
43	0.2981738797
44	0.2912675461
45	0.2846738313
46	0.2783694248
47	0.2723516939
48	0.2661599911
49	0.2604238216
50	0.2548572189
51	0.2494694589
52	0.2442315992
53	0.2390878114
54	0.2340935466
55	0.2294861987
56	0.2249811979
57	0.2204712491
58	0.2160915709
59	0.2121348328
60	0.2082727954
61	0.2044737631
62	0.2009545113
63	0.1974335287
64	0.1939976192
65	0.1906067742
66	0.187345813
67	0.1841874276
68	0.1811691871
69	0.1782701933
70	0.1756096427
71	0.1730479133
72	0.1705249213
73	0.1681153794
74	0.1658138892
75	0.1635825758
76	0.1614214167
77	0.159313617
78	0.1573095542
79	0.1554228196
80	0.1536711459
81	0.1519503884
82	0.1502501807
83	0.1486016422
84	0.1469829816
85	0.1455306654
86	0.144063127
87	0.1427436342
88	0.1414242364
89	0.1401598196
90	0.1389319279
91	0.137729153
92	0.136595867
93	0.1354873749
94	0.134489736
95	0.1334691684
96	0.1325034329
97	0.131591197
98	0.1307007495
99	0.1298692611
100	0.1290900367
101	0.1283352545
102	0.1275738144
103	0.1268333608
104	0.1261217791
105	0.1254894245
106	0.1248416179
107	0.1242361918
108	0.1236528982
109	0.1231002383
110	0.1225615799
111	0.1220846788
112	0.121639212
113	0.1211728233
114	0.1207631643
115	0.1203464733
116	0.1199455566
117	0.1195721052
118	0.1191834506
119	0.1188410226
120	0.1184870947
121	0.1181444337
122	0.1178348667
123	0.117499851
124	0.1171917149
125	0.1168976283
126	0.1166333176
127	0.1163682498
128	0.1161231388
129	0.115898939
130	0.1156743358
131	0.1154602394
132	0.1152408502
133	0.1150439123
134	0.114847941
135	0.1146903805
136	0.1144927854
137	0.1143234596
138	0.1141607293
139	0.1140007141
140	0.1138650876
141	0.1137160539
142	0.113578581
143	0.1134376622
144	0.1132847977
145	0.1131505544
146	0.1130390498
147	0.1129272305
148	0.1128060415
149	0.1126899543
150	0.112566869
151	0.1124529747
152	0.1123411953
153	0.1122172951
154	0.1121155251
155	0.1120331452
156	0.1119336917
157	0.1118720451
158	0.1118002354
159	0.1117202304
160	0.1116358848
161	0.1115518244
162	0.1114845424
163	0.1114078462
164	0.1113341299
165	0.1112620535
166	0.1112069975
167	0.1111395695
168	0.1110861063
169	0.1110038554
170	0.1109339492
171	0.1108803136
172	0.1108228443
173	0.1107508851
174	0.1106775047
175	0.1106407246
176	0.1105782322
177	0.1105061318
178	0.1104394669
179	0.1103881278
180	0.110324996
181	0.1102741127
182	0.1102063678
183	0.1101546123
184	0.1100904655
185	0.1100485625
186	0.1099953649
187	0.1099588154
188	0.1099113168
189	0.1098797102
190	0.1098428567
191	0.1097869
192	0.1097638026
193	0.109738086
194	0.1096896232
195	0.1096465373
196	0.1096297647
197	0.1095995844
198	0.1095410434
199	0.1095013262
200	0.109462247
201	0.1094294334
202	0.1093977926
203	0.1093750816
204	0.1093573564
205	0.109328813
206	0.1092962123
207	0.1092949736
208	0.1092768267
209	0.1092756246
210	0.1092744279
211	0.1092519127
212	0.109250746
213	0.1092278782
214	0.1092024093
215	0.1091825777
216	0.1091657654
217	0.1090779836
218	0.1090314509
219	0.1090104882
220	0.1089692811
221	0.1089682464
222	0.1089474273
223	0.1089251301
224	0.1089069443
225	0.1088633591
226	0.1088201158
227	0.1087952913
228	0.1087943236
229	0.10876599
230	0.1087200654
231	0.1086915196
232	0.1086736078
233	0.1086363067
234	0.1085993828
235	0.1085730338
236	0.1085498491
237	0.1085201359
238	0.1084933472
239	0.1084669685
240	0.1084660535
241	0.1084651448
242	0.1084554154
243	0.1084545693
244	0.1084329326
245	0.1084024086
246	0.1083698531
247	0.1083272532
248	0.1082910313
249	0.1082890427
250	0.1082174635
251	0.1081998474
252	0.1081797672
253	0.108147506
254	0.1081292726
255	0.1081285406
256	0.1081260966
257	0.1081253863
258	0.1081076064
259	0.1080899731
260	0.1080615371
261	0.1080457939
262	0.1080051086
263	0.1079830431
264	0.1079363771
265	0.1079023944
266	0.1078814174
267	0.1078622087
268	0.1078615597
269	0.1078366162
270	0.1078361182
271	0.1077842391
272	0.1077836169
273	0.1076999664
274	0.107675271
275	0.1076603682
276	0.1076109105
277	0.1075936413
278	0.1075805785
279	0.1075582005
280	0.1075455744
281	0.1075400335
282	0.107525796
283	0.1075225004
284	0.1075150622
285	0.1074949024
286	0.1074943434
287	0.107493906
288	0.1074933605
289	0.1074344355
290	0.1074338049
291	0.1074175104
292	0.1074117656
293	0.1074112375
294	0.1073966514
295	0.1073391626
296	0.1073373842
297	0.1073368612
298	0.1073363567
299	0.1073197658
300	0.1073192727
301	0.1073137147
302	0.1072623318
303	0.1072498186
304	0.1072493498
305	0.1072252197
306	0.1071942877
307	0.1071460983
308	0.1071337562
309	0.1071131852
310	0.1070975514
311	0.1070886515
312	0.1070756702
313	0.1070752508
314	0.1070661946
315	0.1070657266
316	0.1070598632
317	0.1070587122
318	0.1070404984
319	0.1070227201
320	0.1070150833
321	0.1069984523
322	0.1069726375
323	0.1069208985
324	0.106912073
325	0.1068828719
326	0.1068591859
327	0.1068354442
328	0.1068167117
329	0.1068049297
330	0.1067896713
331	0.1067727628
332	0.1067674779
333	0.1067573333
334	0.1067492898
335	0.1067456935
336	0.1067310999
337	0.106708349
338	0.1066550765
339	0.1066400411
340	0.1065769362
341	0.1065584023
342	0.1065453262
343	0.106473168
344	0.106472823
345	0.1064656399
346	0.106464902
347	0.1064630844
348	0.106423627
349	0.1064154994
350	0.1064031326
351	0.1064028164
352	0.1064020956
353	0.106388548
354	0.106388244
355	0.1063701616
356	0.1063553869
357	0.1063328287
358	0.1063216071
359	0.1063098965
360	0.1062927625
361	0.1062839233
362	0.1062716258
363	0.1062451193
364	0.1062350221
365	0.1062182375
366	0.1062037018
367	0.1061812318
368	0.1061810159
369	0.10617432
370	0.106165775
371	0.1061535649
372	0.1061350433
373	0.1061230311
374	0.106109936
375	0.1060915831
376	0.1060534373
377	0.1060492678
378	0.1060165428
379	0.1059606822
380	0.1059399164
381	0.1058938319
382	0.1058884337
383	0.1058295568
384	0.1058292174
385	0.1058114221
386	0.1058111
387	0.1057854722
388	0.1057764783
389	0.105775494
390	0.1057611351
391	0.1057528463
392	0.105741068
393	0.1057408945
394	0.105736913
395	0.1057134013
396	0.1056745303
397	0.1056729846
398	0.1056158829
399	0.1056069276
400	0.1055991527
401	0.1055803293
402	0.1055559512
403	0.1055416364
404	0.1055364677
405	0.1055357476
406	0.1055300864
407	0.10551804
408	0.1055008369
409	0.1054916352
410	0.1054759356
411	0.1054643491
412	0.1054387386
413	0.1053841641
414	0.1053835323
415	0.1053701118
416	0.1053567103
417	0.1053564358
418	0.1053284711
419	0.1053211462
420	0.1053033936
421	0.1052918426
422	0.1052848833
423	0.1052790093
424	0.1052739027
425	0.1052332953
426	0.1052273172
427	0.1052171027
428	0.1051995614
429	0.1051884942
430	0.1051832685
431	0.1051769806
432	0.1051758701
433	0.105142399
434	0.1051410513
435	0.1051284788
436	0.1051274988
437	0.1051269134
438	0.1051141001
439	0.1051075041
440	0.1050881739
441	0.1050614074
442	0.1050562286
443	0.105054998
444	0.1050478464
445	0.1049930849
446	0.104992741
447	0.1049885641
448	0.1049884024
449	0.1049815169
450	0.104974876
451	0.104965439
452	0.1049386172
453	0.1049366076
454	0.104935679
455	0.1049189662
456	0.1048587567
457	0.1048503901
458	0.1048467628
459	0.1048460759
460	0.1048388116
461	0.1047958
462	0.1047906466
463	0.1047482565
464	0.1046980631
465	0.1046896634
466	0.1046552452
467	0.1045959035
468	0.1045859029
469	0.1045809286
470	0.104550845
471	0.1045360319
472	0.1044901482
473	0.1044853302
474	0.104463709
475	0.1044504081
476	0.1044330642
477	0.1044319337
478	0.104397538
479	0.1043969791
480	0.104348631
481	0.1043358744
482	0.1042778855
483	0.1042322203
484	0.1042128583
485	0.1041781958
486	0.1041295152
487	0.104128185
488	0.104116213
489	0.1041149931
490	0.104063544
491	0.1040479866
492	0.1040429955
493	0.1040405897
494	0.1040246189
495	0.103979543
496	0.1039653768
497	0.1039605514
498	0.1039544714
499	0.1039458439
500	0.1039356884
501	0.1039350137
502	0.1039058022
503	0.1038675933
504	0.103863295
505	0.1038618595
506	0.1038550261
507	0.1038509825
508	0.1038496592
509	0.1038170145
510	0.1037776246
511	0.1037754118
512	0.1037646358
513	0.1037345413
514	0.1037147602
515	0.1036770888
516	0.1036710834
517	0.1036300353
518	0.1036085373
519	0.1036077269
520	0.1035956175
521	0.103584014
522	0.1035558243
523	0.1035407222
524	0.1035405577
525	0.1035402878
526	0.1035397345
527	0.1035365927
528	0.1035360102
529	0.1035339957
530	0.1035229167
531	0.1035223702
532	0.1034897139
533	0.1034878522
534	0.1034669385
535	0.1034660144
536	0.1034562839
537	0.1034516166
538	0.1034364513
539	0.103436165
540	0.1034017282
541	0.103399421
542	0.1033789932
543	0.1033384718
544	0.1033096025
545	0.1032866514
546	0.1032683279
547	0.1032619052
548	0.1032276457
549	0.1031928176
550	0.1031815798
551	0.1031810008
552	0.1031748088
553	0.1031687447
554	0.1031627576
555	0.1031612182
556	0.1031523563
557	0.1031497503
558	0.1031227905
559	0.1030887142
560	0.1030711079
561	0.1030452075
562	0.1030327499
563	0.1029934376
564	0.1029729281
565	0.1029451621
566	0.1029440998
567	0.1029163171
568	0.1029110279
569	0.1028807482
570	0.1028763223
571	0.1028442708
572	0.1028368447
573	0.1028126549
574	0.1027999109
575	0.1027994689
576	0.1027984583
577	0.1027845834
578	0.1027805368
579	0.1027421834
580	0.102738171
581	0.1027371807
582	0.1027122923
583	0.1027058125
584	0.1026926411
585	0.1026872488
586	0.102681718
587	0.1026778256
588	0.1026534397
589	0.1026486587
590	0.1026191923
591	0.1026181214
592	0.102586388
593	0.1025495907
594	0.1025280096
595	0.1025250514
596	0.1025171914
597	0.1024978287
598	0.1024914225
599	0.1024649761
